mes,ano,valor_exterior_pf,valor_exterior_pj,valor_exterior_subtotal,valor_sem_ex_pf,valor_sem_ex_pj,valor_sem_ex_subtotal,valor_exchanges,valor_total
3,2022,153.80543000000043,961.7911542500005,1115.596584250001,108.15639892999968,2688.5652345199906,2796.7216334499903,9909.677138580917,13822.0
4,2022,147.8730184199998,1006.652300230003,1154.5253186500029,119.5484441899997,2075.2673266399643,2194.815770829964,10478.602580229834,13827.94
5,2022,216.3661116800002,1571.0103150599869,1787.376426739987,74.74001996999984,3053.7402904403684,3128.4803104103685,13178.464147800622,18094.32
6,2022,562.6350580099995,1439.4311802400014,2002.0662382500009,83.66801142996786,3120.971809689977,3204.639821119945,10028.856389671355,15235.56
7,2022,196.35221163000202,1231.18263702,1427.534848650002,34.63377851999993,3531.911720000148,3566.5454985201477,9747.345440020646,14741.43
8,2022,182.15270520000016,1222.8649351099975,1405.0176403099977,39.60314123999991,2018.010226869976,2057.613368109976,11656.107759180315,15118.74
9,2022,152.84957169999984,897.5852508799935,1050.4348225799934,39.38871418999984,1460.2281468999931,1499.6168610899929,10223.596292019896,12773.65
10,2022,231.84792145999995,822.9444015599994,1054.7923230199995,34.74309892999998,1676.3268304499102,1711.0699293799103,11489.994952260615,14255.86
11,2022,303.7615181100001,1017.953277400004,1321.714795510004,62.771541870000306,2052.2619267499845,2115.033468619985,13126.383010750178,16563.13
12,2022,256.8202824300001,1091.30563586,1348.12591829,55.59677658999969,1442.0316193600072,1497.628395950007,11816.704204930305,14662.46
1,2023,60.88798956,1016.1251655700065,1077.0131551300065,56.80949863999982,1736.1802311099925,1792.9897297499924,15579.636267725431,18449.64
2,2023,54.388820910005464,879.1321850900002,933.5210060000057,176.2475413599969,1515.0701903399993,1691.317731699996,14510.859903441193,17135.7
3,2023,87.30087890999991,1471.9199549099847,1559.2208338199846,54.981810659999965,2731.584775929985,2786.566586589985,17963.869613560088,22309.66
4,2023,71.49629373999997,4672.802653830007,4744.298947570007,72.41403164998601,2486.3912189101593,2558.8052505601454,16808.45905690356,24111.56
5,2023,60.43802233000009,1978.4872824600059,2038.925304790006,28.626467629999954,3156.6218499700194,3185.248317600019,15005.102940966477,20229.28
6,2023,74.4564513600001,2853.1841753799945,2927.640626739995,97.78071235999988,4044.1061219782814,4141.886834338281,16669.876741156626,23739.4
7,2023,54.55143906000005,2574.3592517900083,2628.9106908500085,85.17605787000005,3730.555988048971,3815.732045918971,18297.60704399646,24742.25
8,2023,50.84918872000006,3342.2037681700094,3393.0529568900097,148.23895941999996,4603.388085418419,4751.627044838419,20147.020298244843,28291.7
